year,age,educ,degree,sex,race,partyid,othlang,letin1a,coninc,vstrat,vpsu,wtssnrps,prez,age_c,decrease_imm
2010,47,16,3,1,2,0,2,2,152908.1861,2280,2,1.242615036,1,40,0
2010,55,14,2,1,1,3,1,,9032.625,2281,1,1.487355287,1,50,
2010,48,13,1,2,2,5,2,4,54195.75,2281,1,1.050552247,1,40,1
2010,49,12,1,1,1,6,2,5,96348,2281,1,0.925676045,1,40,1
2010,20,13,1,1,3,2,1,3,26094.25,2281,2,2.733760788,1,18,0
2010,24,17,1,1,3,7,1,3,2810.15,2281,2,2.679212442,1,18,0
2010,24,16,3,1,1,4,2,4,1605.8,2281,2,2.318407462,1,18,1
2010,26,16,1,2,1,3,2,,30108.75,2281,2,0.962729294,1,18,
2010,27,19,3,1,1,4,2,3,401.45,2282,1,2.340580408,1,18,0
2010,48,20,4,1,1,0,2,,54195.75,2282,1,0.705737823,1,40,
2010,54,16,3,2,1,1,2,3,112406,2282,1,0.629212665,1,50,0
2010,64,17,4,2,1,0,1,3,96348,2282,1,0.829569215,1,60,0
2010,23,15,1,2,3,5,1,,401.45,2282,1,2.42104927,1,18,
2010,73,13,1,1,1,0,1,3,6021.75,2282,2,0.492295611,1,70,0
2010,30,12,1,1,3,5,1,4,36130.5,2282,2,1.506698757,1,30,1
2010,53,13,1,2,2,0,2,5,13047.125,2282,2,0.795473802,1,50,1
2010,39,15,1,1,1,5,1,5,44159.5,2282,2,0.469914206,1,30,1
2010,39,13,1,1,2,3,2,3,22079.75,2283,1,0.389672766,1,30,0
2010,50,12,1,1,3,5,2,4,44159.5,2283,1,0.474730365,1,50,1
2010,65,20,4,1,1,4,1,5,152908.1861,2283,1,1.610942979,1,60,1
2010,51,12,1,2,1,5,1,,80290,2283,2,0.665122626,1,50,
2010,29,12,1,1,1,2,1,,26094.25,2283,2,1.26268641,1,18,
2010,20,12,1,2,3,3,2,,15054.375,2284,1,0.781083067,1,18,
2010,50,12,0,1,1,1,1,1,54195.75,2284,1,1.023482176,1,50,0
2010,72,12,1,2,1,1,2,4,152908.1861,2284,1,0.440262992,1,70,1
2010,68,13,1,1,2,0,2,4,66239.25,2284,1,0.648039852,1,60,1
2010,41,14,1,1,1,1,1,5,,2284,1,1.816837278,1,40,1
2010,63,20,4,1,1,4,2,,66239.25,2284,1,0.870500421,1,60,
2010,62,16,3,1,1,2,1,4,152908.1861,2284,1,0.973747109,1,60,1
2010,52,15,2,2,3,2,2,,11039.875,2284,2,0.446580251,1,50,
2010,39,16,3,2,1,0,2,4,96348,2284,2,0.418132898,1,30,1
2010,46,8,0,1,3,1,1,2,36130.5,2284,2,3.881472295,1,40,0
2010,19,11,0,1,1,5,2,,80290,2284,2,2.379069138,1,18,
2010,45,16,3,1,1,0,2,3,36130.5,2284,2,0.443859644,1,40,0
2010,72,17,4,1,1,4,1,,22079.75,2285,1,0.628989308,1,70,
2010,77,6,0,2,3,6,2,3,9032.625,2285,1,0.588556434,1,70,0
2010,26,12,1,2,1,2,2,,,2285,1,1.390974071,1,18,
2010,48,20,4,1,1,0,1,5,54195.75,2285,1,0.825451254,1,40,1
2010,65,13,1,1,1,4,2,5,36130.5,2285,1,1.031239916,1,60,1
2010,79,12,1,2,2,0,2,3,22079.75,2285,2,1.207419555,1,70,0
2010,82,16,3,1,2,0,2,,,2285,2,0.39054005,1,80,
2010,51,12,1,1,2,0,2,5,,2286,1,0.407733594,1,50,1
2010,38,16,3,2,2,1,1,3,30108.75,2286,1,0.737629966,1,30,0
2010,46,13,1,2,2,0,2,,22079.75,2286,1,1.54240934,1,40,
2010,47,12,1,1,1,1,2,2,44159.5,2286,1,0.94825702,1,40,0
2010,40,12,1,2,2,1,2,5,30108.75,2286,1,0.613376339,1,40,1
2010,56,14,2,1,1,3,2,3,66239.25,2286,2,0.410938875,1,50,0
2010,79,12,1,2,1,3,2,,15054.375,2286,2,0.719791064,1,70,
2010,43,12,1,2,1,0,1,2,26094.25,2287,1,2.465567245,1,40,0
2010,37,10,0,2,2,4,2,3,7226.1,2287,1,0.692682786,1,30,0
2010,30,12,1,2,3,4,1,,54195.75,2287,1,1.099252252,1,30,
2010,29,10,0,1,2,2,1,3,36130.5,2287,1,0.891638138,1,18,0
2010,79,12,1,2,1,6,1,4,13047.125,2287,2,0.473682049,1,70,1
2010,71,12,1,1,1,1,2,,19068.875,2287,2,1.062576847,1,70,
2010,20,12,1,1,2,1,2,3,54195.75,2287,2,0.746893865,1,18,0
2010,40,14,1,2,2,0,2,,44159.5,2287,2,0.37865041,1,40,
2010,27,14,1,1,3,3,1,4,152908.1861,2287,2,0.863866135,1,18,1
2010,85,12,1,2,1,5,1,3,6021.75,2288,1,0.632624625,1,80,0
2010,62,18,3,2,1,6,2,,44159.5,2288,1,0.847763682,1,60,
2010,29,9,1,2,2,0,2,3,30108.75,2288,1,0.402934844,1,18,0
